Atom Type,a,b,c
Mn,0.0,0.0,0.0
Mn,0.3222719249999999,0.3222719249999999,0.3222719249999999
Mn,0.1777280750000001,0.1777280750000001,0.8222719249999999
Mn,0.8222719249999999,0.1777280750000001,0.1777280750000001
Mn,0.1777280750000001,0.8222719249999999,0.1777280750000001
Mn,0.35952389,0.043018469999999864,0.35952389
Mn,0.14047611,0.45698153000000014,0.85952389
Mn,0.85952389,0.45698153000000014,0.14047611
Mn,0.14047611,0.85952389,0.45698153000000014
Mn,0.14047611,0.14047611,0.5430184699999998
Mn,0.5430184699999998,0.14047611,0.14047611
Mn,0.45698153000000014,0.85952389,0.14047611
Mn,0.45698153000000014,0.14047611,0.85952389
Mn,0.85952389,0.14047611,0.45698153000000014
Mn,0.35952389,0.35952389,0.043018469999999864
Mn,0.043018469999999864,0.35952389,0.35952389
Mn,0.14047611,0.5430184699999998,0.14047611
Mn,0.09318171999999997,0.2844445599999999,0.09318171999999997
Mn,0.90681828,0.7155554400000002,0.09318171999999997
Mn,0.09318171999999997,0.7155554400000002,0.90681828
Mn,0.90681828,0.09318171999999997,0.7155554400000002
Mn,0.40681828000000003,0.40681828000000003,0.7844445599999998
Mn,0.7844445599999998,0.40681828000000003,0.40681828000000003
Mn,0.7155554400000002,0.09318171999999997,0.90681828
Mn,0.7155554400000002,0.90681828,0.09318171999999997
Mn,0.09318171999999997,0.90681828,0.7155554400000002
Mn,0.09318171999999997,0.09318171999999997,0.2844445599999999
Mn,0.2844445599999999,0.09318171999999997,0.09318171999999997
Mn,0.40681828000000003,0.7844445599999998,0.40681828000000003
Mn,0.5,0.5,0.5
Mn,0.8222719249999999,0.8222719249999999,0.8222719249999999
Mn,0.6777280750000001,0.6777280750000001,0.3222719249999999
Mn,0.3222719249999999,0.6777280750000001,0.6777280750000001
Mn,0.6777280750000001,0.3222719249999999,0.6777280750000001
Mn,0.85952389,0.5430184699999998,0.85952389
Mn,0.64047611,0.9569815300000002,0.35952388999999996
Mn,0.35952388999999996,0.9569815300000002,0.64047611
Mn,0.64047611,0.35952388999999996,0.9569815300000002
Mn,0.64047611,0.64047611,0.04301846999999981
Mn,0.04301846999999981,0.64047611,0.64047611
Mn,0.9569815300000002,0.35952388999999996,0.64047611
Mn,0.9569815300000002,0.64047611,0.35952388999999996
Mn,0.35952388999999996,0.64047611,0.9569815300000002
Mn,0.85952389,0.85952389,0.5430184699999998
Mn,0.5430184699999998,0.85952389,0.85952389
Mn,0.64047611,0.04301846999999981,0.64047611
Mn,0.59318172,0.7844445599999998,0.59318172
Mn,0.40681828,0.21555544000000015,0.59318172
Mn,0.59318172,0.21555544000000015,0.40681828
Mn,0.40681828,0.59318172,0.21555544000000015
Mn,0.90681828,0.90681828,0.28444455999999985
Mn,0.28444455999999985,0.90681828,0.90681828
Mn,0.21555544000000015,0.59318172,0.40681828
Mn,0.21555544000000015,0.40681828,0.59318172
Mn,0.59318172,0.40681828,0.21555544000000015
Mn,0.59318172,0.59318172,0.7844445599999998
Mn,0.7844445599999998,0.59318172,0.59318172
Mn,0.90681828,0.28444455999999985,0.90681828
