Atom Type,a,b,c
Mn,0.0,0.0,0.5
Mn,0.0,0.5,0.0
Mn,0.5,0.0,0.0
Mn,0.5,0.5,0.5
Al,0.0,0.0,0.0
Al,0.0,0.5,0.5
Al,0.5,0.0,0.5
Al,0.5,0.5,0.0
Cu,0.25,0.25,0.75
Cu,0.25,0.75,0.75
Cu,0.25,0.75,0.25
Cu,0.25,0.25,0.25
Cu,0.75,0.25,0.25
Cu,0.75,0.75,0.25
Cu,0.75,0.75,0.75
Cu,0.75,0.25,0.75
